species	area	Amostra	Planta	diameter	c_folha	l_folha	c_raiz	MF	MR	Mriz	Msub	Mtot	RSRatio	SSRatio	Zn	Fe	Mn	Cu	B	fe_std	zn_std	mn_std	cu_std	b_std
crassifolia	1	3	5	8.89	4.78	0.5275	3.4125	1.3703	0.1349	0.9996	1.1345	2.5048	0.098445596	0.827920893	0.37	47.16	0.41	0.1	0.6	0.24756577	1.363822526	1.025	0.311778291	7.883211679
crassifolia	1	3	6	6.18	3.59	0.465	3.7175	0.5713	0.1539	0.5417	0.6956	1.2669	0.269385612	1.217573954	0.37	47.16	0.41	0.1	0.6	0.24756577	1.363822526	1.025	0.311778291	7.883211679
crassifolia	1	3	7	6.47	3.605	0.4525	2.6675	0.5283	0.0869	0.5063	0.5932	1.1215	0.164489873	1.122846867	0.37	47.16	0.41	0.1	0.6	0.24756577	1.363822526	1.025	0.311778291	7.883211679
crassifolia	1	3	8	7.56	3.9325	0.5175	3.3	1.1428	0.2452	0.9789	1.2241	2.3669	0.214560728	1.071141057	0.37	47.16	0.41	0.1	0.6	0.24756577	1.363822526	1.025	0.311778291	7.883211679
crassifolia	1	3	9	7.67	4.155	0.6075	3.2925	0.9100	0.1345	0.6322	0.7667	1.6767	0.147802198	0.842527473	0.37	47.16	0.41	0.1	0.6	0.24756577	1.363822526	1.025	0.311778291	7.883211679
crassifolia	1	3	10	4.82	2.5475	0.4075	2.73	0.2437	0.0810	0.3046	0.3856	0.6293	0.332375872	1.582273287	0.37	47.16	0.41	0.1	0.6	0.24756577	1.363822526	1.025	0.311778291	7.883211679
crassifolia	1	4	1	7.23	3.2125	0.34	2.6875	0.6833	0.1341	0.3643	0.4984	1.1817	0.196253476	0.729401434	0.19	69.58	0.42	0.8	0.06	0.36525925	0.700341297	1.05	2.494226328	0.788321168
crassifolia	1	4	2	5.54	2.64	0.2525	3.195	0.4742	0.0578	0.2555	0.3133	0.7875	0.121889498	0.660691691	0.19	69.58	0.42	0.8	0.06	0.36525925	0.700341297	1.05	2.494226328	0.788321168
crassifolia	1	4	3	8.48	4.0625	0.4225	2.815	0.7340	0.0986	0.4710	0.5696	1.3036	0.134332425	0.776021798	0.19	69.58	0.42	0.8	0.06	0.36525925	0.700341297	1.05	2.494226328	0.788321168
crassifolia	1	4	4	6.32	3.3575	0.4225	3.5775	0.3725	0.0338	0.0736	0.1074	0.4799	0.090738255	0.288322148	0.19	69.58	0.42	0.8	0.06	0.36525925	0.700341297	1.05	2.494226328	0.788321168
crassifolia	1	4	5	9.29	3.9125	0.4275	4.2	0.8497	0.2285	1.0384	1.2669	2.1166	0.268918442	1.490996822	0.19	69.58	0.42	0.8	0.06	0.36525925	0.700341297	1.05	2.494226328	0.788321168
crassifolia	1	4	6	5.77	2.375	0.4425	3.0375	0.4946	0.1080	0.1192	0.2272	0.7218	0.218358269	0.4593611	0.19	69.58	0.42	0.8	0.06	0.36525925	0.700341297	1.05	2.494226328	0.788321168
crassifolia	1	4	7	5.96	3.0775	0.395	3.9675	0.6729	0.0661	0.3130	0.3791	1.0520	0.098231535	0.563382375	0.19	69.58	0.42	0.8	0.06	0.36525925	0.700341297	1.05	2.494226328	0.788321168
crassifolia	1	4	8	6.72	3.315	0.5525	2.815	1.2363	0.1748	0.5545	0.7293	1.9656	0.14138963	0.589905363	0.19	69.58	0.42	0.8	0.06	0.36525925	0.700341297	1.05	2.494226328	0.788321168
crassifolia	1	4	9	5.07	3.26	0.6025	3.675	0.3776	0.1213	0.8090	0.9303	1.3079	0.321239407	2.46371822	0.19	69.58	0.42	0.8	0.06	0.36525925	0.700341297	1.05	2.494226328	0.788321168
crassifolia	1	4	10	7.23	3.0025	0.37	3.2925	1.6602	0.1020	1.2989	1.4009	3.0611	0.061438381	0.843813998	0.19	69.58	0.42	0.8	0.06	0.36525925	0.700341297	1.05	2.494226328	0.788321168
